Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0347715245877402,-0.100098387533775,-0.000144326224376682,0,0,0,7.55935357679244,0.0389395754168396,0.000808553536819918,9.44800147061947E-06,0.0516342750016166,2.58130824100087E-05,0.0580773217025642,0,0,0,0,0,0,package://mz07f/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0125239121368823,0.0101027462045582,0.089291429581071,0,0,0,5.77212160720627,0.0230090390489375,-0.0014076568754461,-0.00438549804028861,0.0281748125267676,-0.00356209091392149,0.0207709524394199,0,0,0,0,0,0,package://mz07f/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_1.STL,,link_1-1,Origin_j1,Axis_j1,j1,revolute,0,-0.18393,0,1.5708,0,0,base_link,0,0,1,0,0,-2.9671,2.9671,,,,,,,,
link_1_logo_right,-0.0105938366619635,-0.354203394907652,0.00249989006287181,0,0,0,0.00413873603907265,7.93445011072385E-08,2.92630466276148E-08,7.34948164464727E-13,1.4181747808638E-07,1.15061223730661E-12,2.03917068891799E-07,0,0,0,0,0,0,package://mz07f/meshes/link_1_logo_right.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://mz07f/meshes/link_1_logo_right.STL,,link_2_logo_right-1,Origin_j1_logo_right,,j1_logo_right,fixed,0.05,-0.115,-0.18393,-1.5708,0,0,link_1,0,0,0,,,,,,,,,,,,
link_1_logo_left,0.00058597639189021,-0.354203430375607,0.00249994810831844,0,0,0,0.00413884959229973,7.93428025742701E-08,-2.92621264428663E-08,3.49814323562943E-13,1.41822252818389E-07,9.90679101728584E-13,2.03920264628298E-07,0,0,0,0,0,0,package://mz07f/meshes/link_1_logo_left.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://mz07f/meshes/link_1_logo_left.STL,,link_2_logo_left-1,Origin_j1_logo_left,,j1_logo_left,fixed,0.05,0.109,-0.18393,-1.5708,0,0,link_1,0,0,0,,,,,,,,,,,,
link_2,-0.00875632738174026,-0.000561506691968779,0.135758832650239,0,0,0,7.61429053078843,0.0687703876266986,8.42340064891874E-05,0.00074521218812936,0.0689072745475354,-0.0100817278418107,0.0161754717386376,0,0,0,0,0,0,package://mz07f/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_2.STL,,link_2-1,Origin_j2,Axis_j2,j2,revolute,0.05,0,0.17107,0,1.5708,0,link_1,0,-1,0,0,0,-0.7854,2.9671,,,,,,,,
link_3,-0.0126207728578235,0.00267344600383827,0.0161273564479561,0,0,0,3.2339069636109,0.0082805266297623,-4.11582572414747E-06,-0.00166880357269331,0.0100136973836493,1.16992349005946E-06,0.0070392779454177,0,0,0,0,0,0,package://mz07f/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_3.STL,,link_3-1,Origin_j3,Axis_j3,j3,revolute,0,0,0.33,0,0,0,link_2,0,-1,0,0,0,-1.1694,3.3161,,,,,,,,
link_4,0.118118693278244,0.000740750301386674,-3.16551156436806E-05,0,0,0,2.75571049000244,0.00472335814266986,-0.000522085489338358,8.16794075114492E-06,0.0157689205619705,-1.82412524157715E-07,0.0161947306163747,0,0,0,0,0,0,package://mz07f/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_4.STL,,link_4-1,Origin_j4,Axis_j4,j4,revolute,0.0866056661096586,0,0.045,0,0,0,link_3,1,0,0,0,0,-3.3161,3.3161,,,,,,,,
link_4_logo_right,-0.173327840840422,-0.0170595163044903,-0.00300001097271252,0,0,0,0.00850856354819316,2.80930737909457E-07,-5.98409516159869E-08,-8.03502347900088E-15,4.73091239447443E-07,-5.27592668303817E-13,7.02970481207342E-07,0,0,0,0,0,0,package://mz07f/meshes/link_4_logo_right.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://mz07f/meshes/link_4_logo_right.STL,,link_4_logo_right-1,Origin_j4_logo_right,Axis_j4_logo_right,j4_logo_right,fixed,0.252394333890341,-0.0660000000000012,0,1.5707963267949,0,0,link_4,0,0,0,,,,,,,,,,,,
link_4_logo_left,-0.173364604373618,-0.0164409548279384,-0.00299999905318901,0,0,0,0.00777265209086677,2.38948196636742E-07,4.70560728934318E-08,3.32338829488049E-14,3.97247849495569E-07,6.59464969158827E-14,5.895617186301E-07,0,0,0,0,0,0,package://mz07f/meshes/link_4_logo_left.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://mz07f/meshes/link_4_logo_left.STL,,link_4_logo_left-1,Origin_j4_logo_left,Axis_j4_logo_left,j4_logo_left,fixed,0.252394333890342,0.0599999999999988,0,1.5707963267949,0,0,link_4,0,0,0,,,,,,,,,,,,
link_5,0.0229015831782668,-0.00373856595796998,-2.05995222968269E-05,0,0,0,0.569496282372527,0.000559501947826107,-7.99095283910367E-05,1.06907390133107E-07,0.000641353815666973,5.14186929329668E-07,0.000648010014894897,0,0,0,0,0,0,package://mz07f/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_5.STL,,link_5-1,Origin_j5,Axis_j5,j5,revolute,0.25239,0,0,0,0,0,link_4,0,-1,0,0,0,-2.0944,2.0944,,,,,,,,
link_6,0.00789863634191825,-1.50692406487384E-15,-5.55111512312578E-17,0,0,0,0.0328751963234904,2.53528636282377E-05,-4.31913575580229E-20,-6.30892761346526E-21,1.36106893257927E-05,2.16262548912053E-21,1.36106893257927E-05,0,0,0,0,0,0,package://mz07f/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mz07f/meshes/link_6.STL,,link_6-1,Origin_j6,Axis_j6,j6,revolute,0.0685,0,0,0,0,0,link_5,1,0,0,0,0,-6.2657,6.2657,,,,,,,,
